"ChEMBL ID";"Name";"UniProt Accessions";"Type";"Organism";"Compounds";"Activities";"Tax ID";"Species Group Flag"
"CHEMBL5127";"Poliovirus type 1 polyprotein";"P03300";"SINGLE PROTEIN";"Human poliovirus 1 Mahoney";"20";"20";"12081";"False"
"CHEMBL2111357";"Calpain 1";"P04632|P07384";"PROTEIN COMPLEX";"Homo sapiens";"175";"176";"9606";"False"
"CHEMBL3351205";"Peptidase 1";"P16311";"SINGLE PROTEIN";"Dermatophagoides farinae";"2";"2";"6954";"False"
"CHEMBL1741213";"Sentrin-specific protease 7";"Q9BQF6";"SINGLE PROTEIN";"Homo sapiens";"989";"1073";"9606";"False"
"CHEMBL3147";"Calpain 1/2";"P00789";"SINGLE PROTEIN";"Gallus gallus";"3";"3";"9031";"False"
"CHEMBL3612";"Calpain 2";"Q27971";"SINGLE PROTEIN";"Bos taurus";"3";"3";"9913";"False"
"CHEMBL1250372";"Probable cathepsin C";"Q8IIJ9";"SINGLE PROTEIN";"Plasmodium falciparum 3D7";"4";"4";"36329";"False"
"CHEMBL2857";"Human rhinovirus A protease";"Q4U254";"SINGLE PROTEIN";"Human rhinovirus sp.";"814";"1343";"169066";"False"
"CHEMBL5801";"Cysteine protease falcipain-2";"Q9NBD4";"SINGLE PROTEIN";"Plasmodium falciparum";"66";"149";"5833";"False"
"CHEMBL1741221";"Cysteine protease ATG4B";"Q9Y4P1";"SINGLE PROTEIN";"Homo sapiens";"662";"978";"9606";"False"
"CHEMBL1795087";"Ubiquitin carboxyl-terminal hydrolase 1";"O94782";"SINGLE PROTEIN";"Homo sapiens";"22322";"22556";"9606";"False"
"CHEMBL1293295";"Ubiquitin carboxyl-terminal hydrolase 14";"P54578";"SINGLE PROTEIN";"Homo sapiens";"20";"28";"9606";"False"
"CHEMBL4072";"Cathepsin B";"P07858";"SINGLE PROTEIN";"Homo sapiens";"2900";"3781";"9606";"False"
"CHEMBL4779";"Papain";"P00784";"SINGLE PROTEIN";"Carica papaya";"699";"844";"3649";"False"
"CHEMBL1949492";"Legumain";"O89017";"SINGLE PROTEIN";"Mus musculus";"23";"23";"10090";"False"
"CHEMBL2517";"Cathepsin F";"Q9UBX1";"SINGLE PROTEIN";"Homo sapiens";"66";"66";"9606";"False"
"CHEMBL2069160";"Cathepsin K";"Q3ZKN1";"SINGLE PROTEIN";"Canis familiaris";"2";"2";"9615";"False"
"CHEMBL1909484";"Sentrin-specific protease 1";"Q9P0U3";"SINGLE PROTEIN";"Homo sapiens";"433";"646";"9606";"False"
"CHEMBL3559678";"Genome polyprotein";"Q91H74";"SINGLE PROTEIN";"Dengue virus 2";"138";"200";"11060";"False"
"CHEMBL1075050";"Dipeptidyl peptidase 1";"Q3ZCJ8";"SINGLE PROTEIN";"Bos taurus";"5";"5";"9913";"False"
"CHEMBL2157851";"Ubiquitin carboxyl-terminal hydrolase 47";"Q96K76";"SINGLE PROTEIN";"Homo sapiens";"48";"52";"9606";"False"
"CHEMBL1075276";"Caspase-4";"P70343";"SINGLE PROTEIN";"Mus musculus";"2";"3";"10090";"False"
"CHEMBL5832";"Cathepsin B-like cysteine protease";"Q6R7Z5";"SINGLE PROTEIN";"Trypanosoma brucei";"88";"88";"5691";"False"
"CHEMBL1075277";"Cathepsin K";"P55097";"SINGLE PROTEIN";"Mus musculus";"13";"16";"10090";"False"
"CHEMBL3430905";"Caspase-3/Caspase-7";"P42574|P55210";"PROTEIN FAMILY";"Homo sapiens";"49";"57";"9606";"False"
"CHEMBL2223";"Gamma-glutamyl hydrolase";"Q92820";"SINGLE PROTEIN";"Homo sapiens";"4";"4";"9606";"False"
"CHEMBL4097";"Cathepsin L2";"Q94715";"SINGLE PROTEIN";"Paramecium tetraurelia";"3";"10";"5888";"False"
"CHEMBL4523939";"Sortase A";"Q8CM62";"SINGLE PROTEIN";"Streptococcus mutans";"4";"4";"1309";"False"
"CHEMBL3038466";"Calpain1/2";"P17655|P07384";"PROTEIN FAMILY";"Homo sapiens";"8";"14";"9606";"False"
"CHEMBL5800";"Falcipain 2";"Q9N6S8";"SINGLE PROTEIN";"Plasmodium falciparum";"456";"539";"5833";"False"
"CHEMBL2157854";"Ubiquitin carboxyl-terminal hydrolase 8";"P40818";"SINGLE PROTEIN";"Homo sapiens";"112";"203";"9606";"False"
"CHEMBL2205";"Calpain small subunit 1";"P04574";"SINGLE PROTEIN";"Sus scrofa";"36";"37";"9823";"False"
"CHEMBL1697672";"Falcipain 2";"Q9NAW2";"SINGLE PROTEIN";"Plasmodium falciparum";"35";"51";"5833";"False"
"CHEMBL1293227";"Ubiquitin carboxyl-terminal hydrolase 2";"O75604";"SINGLE PROTEIN";"Homo sapiens";"8129";"8795";"9606";"False"
"CHEMBL3774301";"Cysteine proteinase 1";"Q01957";"SINGLE PROTEIN";"Entamoeba histolytica";"3";"3";"5759";"False"
"CHEMBL5169181";"Cysteine protease ATG4A";"Q8WYN0";"SINGLE PROTEIN";"Homo sapiens";"1";"1";"9606";"False"
"CHEMBL3937";"Bovine viral diarrhoea virus polyprotein";"Q96662";"SINGLE PROTEIN";"Bovine viral diarrhea virus (strain CP7) (BVDV) (Mucosal diseasevirus)";"2";"2";"268305";"False"
"CHEMBL268";"Cathepsin K";"P43235";"SINGLE PROTEIN";"Homo sapiens";"2512";"2985";"9606";"False"
"CHEMBL3563";"Cruzipain";"P25779";"SINGLE PROTEIN";"Trypanosoma cruzi";"30215";"33255";"5693";"False"
"CHEMBL5991";"Caspase-14";"P31944";"SINGLE PROTEIN";"Homo sapiens";"7";"8";"9606";"False"
"CHEMBL1250373";"Falcipain-3";"Q8IIL0";"SINGLE PROTEIN";"Plasmodium falciparum 3D7";"3";"3";"36329";"False"
"CHEMBL3349";"Cathepsin K";"P43236";"SINGLE PROTEIN";"Oryctolagus cuniculus";"123";"135";"9986";"False"
"CHEMBL3286062";"Legumain";"Q95M12";"SINGLE PROTEIN";"Bos taurus";"1";"3";"9913";"False"
"CHEMBL3831289";"Caspase";"P49662|P55211|P42574|P51878|P55212|P55210|Q14790|P29466|P42575|Q92851|P31944|Q6UXS9";"PROTEIN FAMILY";"Homo sapiens";"2";"2";"9606";"False"
"CHEMBL3879833";"Dipeptidyl peptidase 1";"O97578";"SINGLE PROTEIN";"Canis lupus familiaris";"1";"1";"9615";"False"
"CHEMBL4244";"Legumain";"Q99538";"SINGLE PROTEIN";"Homo sapiens";"195";"255";"9606";"False"
"CHEMBL4295862";"Cathepsin L";"Q6DMN0";"SINGLE PROTEIN";"Toxoplasma gondii";"27";"27";"5811";"False"
"CHEMBL3407324";"Ubiquitin carboxyl-terminal hydrolase 13";"Q92995";"SINGLE PROTEIN";"Homo sapiens";"1";"1";"9606";"False"
"CHEMBL2954";"Cathepsin S";"P25774";"SINGLE PROTEIN";"Homo sapiens";"2694";"3255";"9606";"False"
"CHEMBL2226";"Caspase-4";"P49662";"SINGLE PROTEIN";"Homo sapiens";"64";"79";"9606";"False"
"CHEMBL5037";"Caspase-10";"Q92851";"SINGLE PROTEIN";"Homo sapiens";"21";"22";"9606";"False"
"CHEMBL2225";"Cathepsin H";"P09668";"SINGLE PROTEIN";"Homo sapiens";"160";"179";"9606";"False"
"CHEMBL2034806";"Streptopain";"P0C0J0";"SINGLE PROTEIN";"Streptococcus pyogenes";"13";"13";"1314";"False"
"CHEMBL4295583";"Cathepsin B-like protease";"P90627";"SINGLE PROTEIN";"Leishmania major";"1";"1";"5664";"False"
"CHEMBL4742277";"Cereblon/Ubiquitin carboxyl-terminal hydrolase 8";"P40818|Q96SW2";"PROTEIN-PROTEIN INTERACTION";"Homo sapiens";"1";"1";"9606";"False"
"CHEMBL2176776";"Sentrin-specific protease 2";"Q9HC62";"SINGLE PROTEIN";"Homo sapiens";"63";"65";"9606";"False"
"CHEMBL3232682";"Ubiquitin carboxyl-terminal hydrolase 20";"Q9Y2K6";"SINGLE PROTEIN";"Homo sapiens";"7";"11";"9606";"False"
"CHEMBL2111396";"Cathepsin (B and K)";"P43235|P07858";"SELECTIVITY GROUP";"Homo sapiens";"79";"80";"9606";"False"
"CHEMBL1697661";"Cysteine protease falcipain-3";"Q9NAW4";"SINGLE PROTEIN";"Plasmodium falciparum";"96";"103";"5833";"False"
"CHEMBL1250371";"Cysteine proteinase falcipain-1";"Q8I6V0";"SINGLE PROTEIN";"Plasmodium falciparum 3D7";"3";"3";"36329";"False"
"CHEMBL4620";"Hepatitis C virus polyprotein";"P26664";"SINGLE PROTEIN";"Hepatitis C virus genotype 1a (isolate 1) (HCV)";"240";"244";"11104";"False"
"CHEMBL2111441";"Cathepsin (H and K)";"P09668|P43235";"SELECTIVITY GROUP";"Homo sapiens";"64";"64";"9606";"False"
"CHEMBL1075185";"Caspase-3";"P55213";"SINGLE PROTEIN";"Rattus norvegicus";"8";"9";"10116";"False"
"CHEMBL4510";"Cysteine protease falcipain-3";"Q9NBA7";"SINGLE PROTEIN";"Plasmodium falciparum";"46";"47";"5833";"False"
"CHEMBL4751";"Cysteine protease";"Q95WR6";"SINGLE PROTEIN";"Leishmania donovani";"30";"30";"5661";"False"
"CHEMBL1741215";"Sentrin-specific protease 6";"Q9GZR1";"SINGLE PROTEIN";"Homo sapiens";"993";"1074";"9606";"False"
"CHEMBL1741207";"Sentrin-specific protease 8";"Q96LD8";"SINGLE PROTEIN";"Homo sapiens";"1263";"1687";"9606";"False"
"CHEMBL3821";"Cysteine proteinase B";"P36400";"SINGLE PROTEIN";"Leishmania mexicana";"9";"11";"5665";"False"
"CHEMBL1075217";"Cathepsin S";"Q02765";"SINGLE PROTEIN";"Rattus norvegicus";"10";"10";"10116";"False"
"CHEMBL4801";"Caspase-1";"P29466";"SINGLE PROTEIN";"Homo sapiens";"4933";"6233";"9606";"False"
"CHEMBL4098";"Cathepsin S";"O70370";"SINGLE PROTEIN";"Mus musculus";"81";"94";"10090";"False"
"CHEMBL2382";"Calpain 2";"P17655";"SINGLE PROTEIN";"Homo sapiens";"171";"185";"9606";"False"
"CHEMBL2113";"Cathepsin L";"P25975";"SINGLE PROTEIN";"Bos taurus";"58";"58";"9913";"False"
"CHEMBL4884";"Caspase-2";"P42575";"SINGLE PROTEIN";"Homo sapiens";"110";"173";"9606";"False"
"CHEMBL4062";"Calpain 1";"P35750";"SINGLE PROTEIN";"Sus scrofa";"166";"219";"9823";"False"
"CHEMBL3488";"Falcipain 2B";"Q3HTL5";"SINGLE PROTEIN";"Plasmodium falciparum";"11";"11";"5833";"False"
"CHEMBL6158";"Ubiquitin carboxyl-terminal hydrolase 5";"P45974";"SINGLE PROTEIN";"Homo sapiens";"58";"94";"9606";"False"
"CHEMBL5632";"Caspase-3";"P70677";"SINGLE PROTEIN";"Mus musculus";"3";"52";"10090";"False"
"CHEMBL3837";"Cathepsin L";"P07711";"SINGLE PROTEIN";"Homo sapiens";"3219";"3789";"9606";"False"
"CHEMBL2157850";"Ubiquitin carboxyl-terminal hydrolase 7";"Q93009";"SINGLE PROTEIN";"Homo sapiens";"363";"527";"9606";"False"
"CHEMBL2406899";"Probable ubiquitin carboxyl-terminal hydrolase FAF-X";"Q93008";"SINGLE PROTEIN";"Homo sapiens";"279";"494";"9606";"False"
"CHEMBL2252";"Dipeptidyl peptidase I";"P53634";"SINGLE PROTEIN";"Homo sapiens";"915";"1374";"9606";"False"
"CHEMBL3988603";"Genome polyprotein";"P26662";"SINGLE PROTEIN";"Hepatitis C virus genotype 1b (isolate Japanese) (HCV)";"338";"366";"11116";"False"
"CHEMBL6159";"Ubiquitin carboxyl-terminal hydrolase isozyme L1";"P09936";"SINGLE PROTEIN";"Homo sapiens";"65";"103";"9606";"False"
"CHEMBL2273";"Caspase-9";"P55211";"SINGLE PROTEIN";"Homo sapiens";"143";"154";"9606";"False"
"CHEMBL6130";"Calpain-10";"Q9ES66";"SINGLE PROTEIN";"Rattus norvegicus";"1";"4";"10116";"False"
"CHEMBL5572";"Clostripain";"P09870";"SINGLE PROTEIN";"Clostridium histolyticum";"6";"6";"1498";"False"
"CHEMBL2111368";"Cathepsin (S and K)";"P25774|P43235";"SELECTIVITY GROUP";"Homo sapiens";"95";"96";"9606";"False"
"CHEMBL3430885";"Ubiquitin carboxyl-terminal hydrolase 1/WD repeat-containing protein 48";"O94782|Q8TAF3";"PROTEIN COMPLEX";"Homo sapiens";"91";"104";"9606";"False"
"CHEMBL3351204";"Peptidase 1";"P08176";"SINGLE PROTEIN";"Dermatophagoides pteronyssinus";"46";"49";"6956";"False"
"CHEMBL2366517";"Protease";"Q9YQ12";"SINGLE PROTEIN";"Human immunodeficiency virus 1";"1935";"2551";"11676";"False"
"CHEMBL3885517";"Apoptotic protease-activating factor 1/Caspase-3/Caspase-9/Cytochrome c";"P55211|P42574|O14727|P99999";"PROTEIN COMPLEX";"Homo sapiens";"6";"6";"9606";"False"
"CHEMBL1681626";"Cathepsin C";"Q864S1";"SINGLE PROTEIN";"Bos taurus";"1";"1";"9913";"False"
"CHEMBL2111380";"Cathepsin (L and K)";"P43235|P07711";"SELECTIVITY GROUP";"Homo sapiens";"100";"105";"9606";"False"
"CHEMBL3308";"Caspase-6";"P55212";"SINGLE PROTEIN";"Homo sapiens";"1062";"1213";"9606";"False"
"CHEMBL4160";"Cathepsin Z";"Q9UBR2";"SINGLE PROTEIN";"Homo sapiens";"57";"64";"9606";"False"
"CHEMBL3232689";"Cathepsin B";"H9B8T9";"SINGLE PROTEIN";"Capra hircus";"47";"109";"9925";"False"
"CHEMBL3309115";"Cathepsin H";"A0A060INS8";"SINGLE PROTEIN";"Capra hircus";"47";"102";"9925";"False"
"CHEMBL3272";"Cathepsin L2";"O60911";"SINGLE PROTEIN";"Homo sapiens";"241";"273";"9606";"False"
"CHEMBL5664";"Lys-gingipain";"P72197";"SINGLE PROTEIN";"Porphyromonas gingivalis";"6";"6";"837";"False"
"CHEMBL2366471";"Trophozoite cysteine proteinase";"P25805";"SINGLE PROTEIN";"Plasmodium falciparum";"42";"84";"5833";"False"
"CHEMBL5187";"Cathepsin B";"P10605";"SINGLE PROTEIN";"Mus musculus";"20";"24";"10090";"False"
"CHEMBL3747";"Calpain 1";"P97571";"SINGLE PROTEIN";"Rattus norvegicus";"30";"41";"10116";"False"
"CHEMBL4188";"Rhodesain";"Q95PM0";"SINGLE PROTEIN";"Trypanosoma brucei rhodesiense";"828";"1448";"31286";"False"
"CHEMBL2305";"Cathepsin L";"P07154";"SINGLE PROTEIN";"Rattus norvegicus";"33";"33";"10116";"False"
"CHEMBL2334";"Caspase-3";"P42574";"SINGLE PROTEIN";"Homo sapiens";"2890";"3585";"9606";"False"
"CHEMBL2406900";"Ubiquitin carboxyl-terminal hydrolase 4";"Q13107";"SINGLE PROTEIN";"Homo sapiens";"7";"7";"9606";"False"
"CHEMBL1250361";"Cell death protein 3";"P42573";"SINGLE PROTEIN";"Caenorhabditis elegans";"4";"4";"6239";"False"
"CHEMBL5297";"Protease";"Q82323";"SINGLE PROTEIN";"Human T-lymphotropic virus 1";"18";"18";"11908";"False"
"CHEMBL2602";"Cathepsin B";"P00787";"SINGLE PROTEIN";"Rattus norvegicus";"42";"50";"10116";"False"
"CHEMBL2157853";"Ubiquitin carboxyl-terminal hydrolase 28";"Q96RU2";"SINGLE PROTEIN";"Homo sapiens";"260";"262";"9606";"False"
"CHEMBL6195";"Ubiquitin carboxyl-terminal hydrolase isozyme L3";"P15374";"SINGLE PROTEIN";"Homo sapiens";"37";"47";"9606";"False"
"CHEMBL1293305";"Genome polyprotein";"Q2Q167";"SINGLE PROTEIN";"Hepatitis C virus";"92";"95";"11103";"False"
"CHEMBL3131";"Caspase-5";"P51878";"SINGLE PROTEIN";"Homo sapiens";"87";"109";"9606";"False"
"CHEMBL5362";"Sortase A";"Q9S446";"SINGLE PROTEIN";"Staphylococcus aureus";"357";"539";"1280";"False"
"CHEMBL3454";"Dipeptidyl peptidase I";"P97821";"SINGLE PROTEIN";"Mus musculus";"11";"27";"10090";"False"
"CHEMBL2111361";"Cathepsin (V and K)";"P43235|O60911";"SELECTIVITY GROUP";"Homo sapiens";"48";"48";"9606";"False"
"CHEMBL3407316";"Ubiquitin carboxyl-terminal hydrolase isozyme L5";"Q9Y5K5";"SINGLE PROTEIN";"Homo sapiens";"30";"39";"9606";"False"
"CHEMBL3739248";"Ubiquitin carboxyl-terminal hydrolase 17";"Q6R6M4";"SINGLE PROTEIN";"Homo sapiens";"3";"3";"9606";"False"
"CHEMBL4800";"Caspase-1";"P29452";"SINGLE PROTEIN";"Mus musculus";"240";"361";"10090";"False"
"CHEMBL4143";"Calpain 2";"P43367";"SINGLE PROTEIN";"Sus scrofa";"1170";"1172";"9823";"False"
"CHEMBL3034";"Cathepsin K";"O35186";"SINGLE PROTEIN";"Rattus norvegicus";"55";"62";"10116";"False"
"CHEMBL3468";"Caspase-7";"P55210";"SINGLE PROTEIN";"Homo sapiens";"3034";"3144";"9606";"False"
"CHEMBL5291";"Cathepsin L1";"P06797";"SINGLE PROTEIN";"Mus musculus";"18";"28";"10090";"False"
"CHEMBL2323";"Cathepsin B";"P07688";"SINGLE PROTEIN";"Bos taurus";"237";"273";"9913";"False"
"CHEMBL3407323";"Ubiquitin carboxyl-terminal hydrolase 10";"Q14694";"SINGLE PROTEIN";"Homo sapiens";"3";"3";"9606";"False"
"CHEMBL3407317";"Ubl carboxyl-terminal hydrolase 18";"Q9UMW8";"SINGLE PROTEIN";"Homo sapiens";"3";"5";"9606";"False"
"CHEMBL3776";"Caspase-8";"Q14790";"SINGLE PROTEIN";"Homo sapiens";"846";"1004";"9606";"False"
"CHEMBL3891";"Calpain 1";"P07384";"SINGLE PROTEIN";"Homo sapiens";"979";"1269";"9606";"False"
